codigo,descricao,preconormal,precooferta,inicio,fim,secao,familia,pai,camp,obs
12150,SH SEDA LISO EXTREMO 325ML,16.49,12.99,17/09,17/10,CUIDADOS COM O CABELO,2475,0,,
12781,CR PENT SALON LINE HIDRATACAO PROFUNDA 1KG,48.79,39.99,22/09,28/09,CUIDADOS COM O CABELO,2577,0,,
12783,CR PENT SALON LINE BRILHO MAXIMO 1KG,48.79,39.99,22/09,28/09,CUIDADOS COM O CABELO,2577,0,,
12785,CR PENT SALON LINE RECONSTRUCAO INTENSA 1K,48.79,39.99,22/09,28/09,CUIDADOS COM O CABELO,2577,0,,
13161,FEIJAO RIQUEZA CARIOCA 1KG,8.49,7.49,21/09,24/09,ACUCAR / ARROZ / GRAOS,0,1,,
13387,COND DOVE RECUPERACAO EXTREMA 200ML,26.99,9.99,12/08,30/09,CUIDADOS COM O CABELO,1480,0,,
13402,SH DOVE RECUPERACAO EXTREMA 200ML,22.69,9.99,12/08,30/09,CUIDADOS COM O CABELO,1475,1,,
13456,KIT NIELY CACHOS DEFINICAO PRONLOGADA SH + COND,27.69,19.98,29/09,18/10,CUIDADOS COM O CABELO,1566,0,,
13625,CR PENT SALON LINE DEFINICAO INTENSA 1K,48.79,39.99,22/09,28/09,CUIDADOS COM O CABELO,2577,0,,
13629,CR PENT SALON LINE NUTRICAO REPARADORA 1KG,48.79,39.99,22/09,28/09,CUIDADOS COM O CABELO,2577,0,,
13846,"AMAC CONC DOWNY BRISA DE VERAO 1,5L",49.59,26.99,25/09,27/09,LIMPEZA,3501,0,,
13894,COND PALMOLIVE NATURALS OLEO SURPREENDENTE CAMELIA 350ML,11.99,7.90,09/09,30/09,CUIDADOS COM O CABELO,1401,0,,
13923,SH PALMOLIVE NATURALS OLEO SURPREENDENTE CAMELIA 350ML,12.39,7.90,09/09,30/09,CUIDADOS COM O CABELO,1260,0,,
14338,"AMAC DOWNY LIRIOS DO CAMPO 1,5L",49.59,26.99,25/09,27/09,LIMPEZA,3501,0,,
14836,KIT SH+COND NIELY CHOCOLATE,27.69,19.98,29/09,18/10,CUIDADOS COM O CABELO,1566,0,,
14990,"WAFER LACTA  BIS OREO CHOCOLATE BRANCO 100,8G",9.19,5.99,10/09,30/09,BISCOITOS / BOLACHAS,4852,0,,
15094,DESOD AERO OLD SPICE VIP 93G,23.29,19.98,16/09,16/10,HIGIENE CORPORAL,2770,0,,
15095,DESOD AERO OLD SPICE LENHA 93G,23.29,19.98,16/09,16/10,HIGIENE CORPORAL,2770,1,,
15270,IOG.LACFREE S/ACUCAR NATURAL 500G,10.79,5.99,22/09,24/09,FRIOS,0,1,,
16315,DESOD AERO REXONA WOMEN POWDER DRY 150ML,18.79,16.99,17/09,17/10,HIGIENE CORPORAL,1489,1,,
16316,DESOD AERO REXONA WOMEN INVISIBLE 150ML,18.79,16.99,17/09,17/10,HIGIENE CORPORAL,1489,0,,
16317,DESOD AERO REXONA WOMEN BAMBOO 150ML,18.79,16.99,17/09,17/10,HIGIENE CORPORAL,1489,0,,
16391,COND SEDA BOMBA DE NUTRICAO 325ML,17.59,13.99,17/09,17/10,CUIDADOS COM O CABELO,2477,0,,
16392,SH SEDA BOMBA DE NUTRICAO 325ML,16.49,12.99,17/09,17/10,CUIDADOS COM O CABELO,2475,0,,
16645,DESOD AERO REXONA WOMEM ACTIVE EMOTION 150ML,18.79,16.99,17/09,17/10,HIGIENE CORPORAL,1489,0,,
16673,DESOD AERO REXONA WOMAN S PERFUME 150ML,18.79,16.99,17/09,17/10,HIGIENE CORPORAL,1489,0,,
16760,DESOD AERO REXONA WOMEN COTTON 150ML,18.79,16.99,17/09,17/10,HIGIENE CORPORAL,1489,0,,
16925,DESOD AERO OLD SPICE MATADOR 93G,23.29,19.98,16/09,16/10,HIGIENE CORPORAL,2770,0,,
16928,DESOD AERO OLD SPICE PEGADOR 93G,23.29,19.98,16/09,16/10,HIGIENE CORPORAL,2770,0,,
16982,COND DOVE ULTRA CACHOS 200ML,26.99,9.99,12/08,30/09,CUIDADOS COM O CABELO,1480,0,,
17006,SH DOVE ULTRA CACHOS 200ML,22.69,9.99,12/08,30/09,CUIDADOS COM O CABELO,1475,0,,
17240,KIT SH+COND NIELY MEGA BRILHO,27.69,19.98,29/09,18/10,CUIDADOS COM O CABELO,1566,0,,
17411,TINT MAXTON PRATICA 12.111 LOURA PLAT,15.99,12.99,22/09,28/09,CUIDADOS COM O CABELO,1481,0,,
17412,TINT MAXTON PRATICA 1.110 PRETO INT PROF,15.99,12.99,22/09,28/09,CUIDADOS COM O CABELO,1481,0,,
17438,"SORV KIBON CREMOSISSIMO CREME 1,5L",31.99,18.90,04/09,30/09,FRIOS,3303,0,,
17439,"SORV KIBON CREMOSISSIMO FLOCOS 1,5L",31.99,18.90,04/09,30/09,FRIOS,3303,0,,
17457,COND DOVE RITUAL DE REPARACAO 200ML,26.99,9.99,12/08,30/09,CUIDADOS COM O CABELO,1480,0,,
17458,SH DOVE RITUAL DE REPARACAO 200ML,22.69,9.99,12/08,30/09,CUIDADOS COM O CABELO,1475,0,,
17492,DESOD AERO REXONA WOMEN ANT INV 150ML,18.79,16.99,17/09,17/10,HIGIENE CORPORAL,1489,0,,
17526,IOG LACFREE NATURAL 500G,12.99,7.19,22/09,27/09,FRIOS,0,1,,
18647,SAB PROTEX MEN TRIPLA ACAO 85G,3.89,2.79,21/09,30/09,HIGIENE CORPORAL,1332,0,,
18725,BASE KITANO PARA CALDO DE LEGUMES 30G,7.99,4.39,22/09,27/09,CONDIMENTOS / CONSERVAS,0,1,,
18757,DESOD AERO OLD SPICE CABRA MACHO 93G,23.29,19.98,16/09,16/10,HIGIENE CORPORAL,2770,0,,
19384,CR PENT SEDA BOOM VOLUMACAO 295ML,13.99,11.99,17/09,17/10,CUIDADOS COM O CABELO,1369,0,,
19390,CR PENT SEDA BOOM DEFINICAO 295ML,13.99,11.99,17/09,17/10,CUIDADOS COM O CABELO,1369,0,,
19393,COND SEDA BOMBA ARGAN 325ML,17.59,13.99,17/09,17/10,CUIDADOS COM O CABELO,2477,0,,
19394,COND TRESEMME BAIXO POO 400ML,33.49,19.99,25/08,30/09,CUIDADOS COM O CABELO,1878,0,,
19396,CR TRAT TRESEMME BAIXO POO 400G,34.29,19.99,25/08,30/09,CUIDADOS COM O CABELO,1687,0,,
19398,SH TRESEMME BAIXO POO 400ML,33.39,19.99,25/08,30/09,CUIDADOS COM O CABELO,1593,0,,
19399,SH SEDA BOMBA ARGAN 325ML,16.49,12.99,17/09,17/10,CUIDADOS COM O CABELO,2475,0,,
19447,"SORV KIBON CREMOSISSIMO NAPLITANO 1,5L",31.99,18.90,04/09,30/09,FRIOS,3303,1,,
19448,SORV KIBOM CREMOS NAPOLITANO+FLOCOS 4EM1 2L,42.49,27.90,04/09,30/09,FRIOS,4870,1,,
19714,COND PANTENE RESTAURACAO 175ML,22.89,9.99,18/09,30/09,CUIDADOS COM O CABELO,2966,1,,
19994,TINT MAXTON PRATICA 7.4 LOURO M ACOBREAD,15.99,12.99,22/09,28/09,CUIDADOS COM O CABELO,1481,0,,
19996,TINT MAXTON PRATICA 8.26 MARSALA,15.99,12.99,22/09,28/09,CUIDADOS COM O CABELO,1481,0,,
20210,CR PENT SALON LINE SUPER LEVE 1K,48.79,39.99,22/09,28/09,CUIDADOS COM O CABELO,2577,0,,
20554,SH DOVE HIDRATACAO INTENSA OXIGENIO 200ML,22.69,9.99,12/08,30/09,CUIDADOS COM O CABELO,1475,0,,
20557,COND DOVE HIDRATACAO INTENSA INFUSAO OXIGENIO 200ML,26.99,9.99,12/08,30/09,CUIDADOS COM O CABELO,1480,1,,
20560,DESOD AERO REXONA MEN SEM PERFUME 150ML,18.79,16.99,17/09,17/10,HIGIENE CORPORAL,1489,0,,
20562,DESOD AERO REXONA WOMEN POM E VERB 90G,18.79,16.99,17/09,17/10,HIGIENE CORPORAL,1489,0,,
20563,DESOD AERO REXONA FLORES BRANCAS E LICHIA 90G,18.79,16.99,17/09,17/10,HIGIENE CORPORAL,1489,0,,
20818,DESOD AERO DOVE GO FRESH ROMA 150ML,21.29,18.99,17/09,17/10,HIGIENE CORPORAL,1484,0,,
20819,DESOD AERO DOVE MINERAL E SALVIA 89G,21.29,18.99,17/09,17/10,HIGIENE CORPORAL,1484,0,,
20822,SH DOVE NUTRICAO MICELAR 200ML,22.69,9.99,12/08,30/09,CUIDADOS COM O CABELO,1475,0,,
20823,COND DOVE NUTRICAO OLEO MICELAR 200ML,26.99,9.99,12/08,30/09,CUIDADOS COM O CABELO,1480,0,,
21257,KIT PANTENE CONTROLE DE QUEDA SH+COND,49.29,39.98,01/09,30/09,CUIDADOS COM O CABELO,3048,0,,
21258,KIT PANTENE RECONSTRUCAO SH+COND,49.29,39.98,01/09,30/09,CUIDADOS COM O CABELO,3048,0,,
21259,KIT PANTENE CACHOS SH+COND,49.29,39.98,01/09,30/09,CUIDADOS COM O CABELO,3048,0,,
21260,KIT PANTENE HIDRATACAO SH+COND,49.29,39.98,01/09,30/09,CUIDADOS COM O CABELO,3048,0,,
21261,KIT PANTENE HIDROCAUTERIZACAO SH+COND,49.29,39.98,01/09,30/09,CUIDADOS COM O CABELO,3048,0,,
21314,DESOD AERO REXONA MEN TORC FANT 90ML,18.79,16.99,17/09,17/10,HIGIENE CORPORAL,1489,0,,
21471,SAB LIQ LUX FLOR DE VERBENA RFL 200ML,10.49,7.99,22/09,28/09,HIGIENE CORPORAL,257,0,,
21856,DESOD AERO REXONA MEN IMPACTO 150ML,18.79,16.99,17/09,17/10,HIGIENE CORPORAL,1489,0,,
22671,CR DENT COLGATE TOTAL CLEAN MINT 180G,18.99,16.90,16/09,30/09,CUIDADOS BUCAL,5018,0,,
22884,FILE DE PEITO EM CUBOS MAURICEA CONG 400G,8.99,7.99,22/09,27/09,AVES,3720,1,,
22885,FILE DE PEITO EM CUBOS MAURICEA CONG 4 QUEIJOS 400G,8.99,7.99,22/09,27/09,AVES,3720,0,,
22886,FILE DE PEITO EM CUBOS MAURICEA CONG YAKISSOBA 400G,8.99,7.99,22/09,27/09,AVES,3720,0,,
22888,FILE DE PEITO EM CUBOS MAURICEA CONG ERVA FINA 400G,8.99,7.99,22/09,27/09,AVES,3720,0,,
23607,SAB LIQ LUX CAPIM LIMAO RFL 200ML,10.49,7.99,22/09,28/09,HIGIENE CORPORAL,257,0,,
24096,KIT PANTENE LISO EXTREMO SH+COND,49.29,39.98,01/09,30/09,CUIDADOS COM O CABELO,3048,0,,
24135,"MAC INST VITARELLA GALINHA 74,3G",1.59,1.49,22/09,27/09,MASSAS,3319,1,,
24223,"MAC INST VITARELLA GALINHA CAIPIRA 74,3G",1.59,1.49,22/09,27/09,MASSAS,3319,0,,
24224,"MAC INST VITARELLA CARNE 74,3G",1.59,1.49,22/09,27/09,MASSAS,3319,0,,
24387,CR DENT COLGATE TOTAL ANTI TARTARO 180G,18.99,16.90,16/09,30/09,CUIDADOS BUCAL,5018,0,,
24450,"MAC INST VITARELLA LEGUMES 74,3G",1.59,1.49,22/09,27/09,MASSAS,3319,0,,
24551,SH SEDA ONDAS FRIZZ 325ML,16.49,12.99,17/09,17/10,CUIDADOS COM O CABELO,2475,0,,
24552,SH SEDA POS DANOS 325ML,16.49,12.99,17/09,17/10,CUIDADOS COM O CABELO,2475,0,,
24566,HID PANTENE UNIDOS PELO CACHOS 270ML,48.69,29.97,29/08,28/09,CUIDADOS COM O CABELO,5527,0,,
24568,LENCO UMED PAMPERS BABY SHARK C 48,15.39,12.99,16/09,16/10,INFANTIS,0,1,,
24634,KIT HASKELL MANDIOCA SH+COND 300ML,58.59,53.99,22/09,28/09,CUIDADOS COM O CABELO,0,1,,
24639,"SORV KIBON CREMOSISSIMO CHOC 1,5L",31.99,18.90,04/09,30/09,FRIOS,3303,0,,
24717,COND SEDA ONDAS FRIZZ 325ML,17.59,13.99,17/09,17/10,CUIDADOS COM O CABELO,2477,0,,
25080,DETERG OMO PO LAV SANITIZA E HIG 800G,17.09,7.99,25/08,24/09,LIMPEZA,5419,1,,
25298,"MAC INST VITARELLA PICANHA 74,3G",1.59,1.49,22/09,27/09,MASSAS,3319,0,,
25299,"MAC INST VITARELLA COSTELA 74,3G",1.59,1.49,22/09,27/09,MASSAS,3319,0,,
25317,TINT MAXTON PRATICA 1.77 PRETO INTENSO,15.99,12.99,22/09,28/09,CUIDADOS COM O CABELO,1481,0,,
25344,COND SEDA MAMONA E CAFE 325ML,17.59,13.99,17/09,17/10,CUIDADOS COM O CABELO,2477,0,,
25345,COND SEDA MANDACARU E CAJA 325ML,17.59,13.99,17/09,17/10,CUIDADOS COM O CABELO,2477,0,,
25346,SH SEDA MAMONA E CAFE 325ML,16.49,12.99,17/09,17/10,CUIDADOS COM O CABELO,2475,0,,
25348,DESOD AERO DOVE ANTIBACTERIANO 150ML,21.29,18.99,17/09,17/10,HIGIENE CORPORAL,1484,0,,
25349,SH DOVE HIDRA LISO 200ML,22.69,9.99,12/08,30/09,CUIDADOS COM O CABELO,1475,0,,
25350,COND DOVE HIDRA LISO 200ML,26.99,9.99,12/08,30/09,CUIDADOS COM O CABELO,1480,0,,
25816,SH SEDA BABOSA E OLEO DE COCO 325ML,16.49,12.99,17/09,17/10,CUIDADOS COM O CABELO,2475,0,,
25817,COND SEDA BABOSA E OLEO DE COCO 325ML,17.59,13.99,17/09,17/10,CUIDADOS COM O CABELO,2477,0,,
25818,SH SEDA MANDACARU E CAJA 325ML,16.49,12.99,17/09,17/10,CUIDADOS COM O CABELO,2475,0,,
25830,ABS ALWAYS BASICO SUAVE C ABAS 32UN,22.39,14.99,22/09,28/09,HIGIENE CORPORAL,3660,1,,
25832,AP BARB GILLETTE MACH3 ACQUA GRIP REG 1,33.29,19.99,15/09,15/10,HIGIENE CORPORAL,0,1,,
25835,DESOD AERO OLD SPICE MAR PROFUNDO 93G,23.29,19.98,16/09,16/10,HIGIENE CORPORAL,2770,0,,
25848,CR PENT SEDA ANTIFRIZZ 300ML,13.99,11.99,17/09,17/10,CUIDADOS COM O CABELO,1369,0,,
25901,"AMAC DOWNY CONC NATURALS COCO E MENTA 1,35LT",49.59,26.99,25/09,27/09,LIMPEZA,3501,0,,
25902,"AMAC DOWNY CONC ADORAVEL 1,35LT",49.59,26.99,25/09,27/09,LIMPEZA,3501,0,,
25903,"AMAC DOWNY CONC MISTICO 1,35LT",49.59,26.99,25/09,27/09,LIMPEZA,3501,0,,
25905,"AMAC DOWNY CONC SUAVE E GENTIL 1,35LT",49.59,26.99,25/09,27/09,LIMPEZA,3501,0,,
25906,"AMAC DOWNY CONC NATURALS ROMA E BAUNILHA 1,35LT",49.59,26.99,25/09,27/09,LIMPEZA,3501,0,,
26026,COND PALMOLIVE SEMPRE LONGO 350ML,11.99,7.90,09/09,30/09,CUIDADOS COM O CABELO,1401,0,,
26027,SH PALMOLIVE NATURALS SEMPRE LONGO 350ML,12.39,7.90,09/09,30/09,CUIDADOS COM O CABELO,1260,0,,
26030,SAB PROTEX DUO PROTECT 85G,3.89,2.79,21/09,30/09,HIGIENE CORPORAL,1332,0,,
26138,DESOD AERO DOVE SENSITIVE SEM PERFUME 150ML,21.29,18.99,17/09,17/10,HIGIENE CORPORAL,1484,0,,
27504,SAB LIQ LUX ORQUIDEA NEGRA RFL 200ML,10.49,7.99,22/09,28/09,HIGIENE CORPORAL,257,1,,
27546,CR DENT COLGATE TOTAL GENGIVA REFORCADA 180G,18.99,16.90,16/09,30/09,CUIDADOS BUCAL,5018,1,,
28520,SH TRESEMME CRESCIMENTO MAXIMO 400ML,33.39,19.99,25/08,30/09,CUIDADOS COM O CABELO,1593,0,,
28521,COND TRESEMME CRESCIMENTO MAXIMO 400ML,33.49,19.99,25/08,30/09,CUIDADOS COM O CABELO,1878,0,,
28578,HAMBURGUER JUNDIAI 56G,0.89,0.79,22/09,27/09,FRIOS,0,1,,
28673,DESOD AERO DOVE GO FRESH PERA 150ML,21.29,18.99,17/09,17/10,HIGIENE CORPORAL,1484,0,,
28674,DESOD AERO DOVE GO FRESH AMORA 150ML,21.29,18.99,17/09,17/10,HIGIENE CORPORAL,1484,0,,
29425,"MAC INST VITARELLA CARNE  445,8G",7.99,7.89,22/09,27/09,MASSAS,4398,0,,
29581,COND SEDA JUNTINHOS CRESPOS 300ML,17.59,13.99,17/09,17/10,CUIDADOS COM O CABELO,2477,0,,
29582,CR PENT SEDA JUNTINHOS CRESPOS 300ML,13.99,11.99,17/09,17/10,CUIDADOS COM O CABELO,1369,0,,
29583,SH SEDA JUNTINHOS 300ML,16.49,12.99,17/09,17/10,CUIDADOS COM O CABELO,2475,0,,
29584,SH SEDA JUNTINHOS CRESPOS 300ML,16.49,12.99,17/09,17/10,CUIDADOS COM O CABELO,2475,0,,
29585,SH SEDA COLAGENO 325ML,16.49,12.99,17/09,17/10,CUIDADOS COM O CABELO,2475,0,,
29586,CR PENT SEDA JUNTINHOS CACHOS 300ML,13.99,11.99,17/09,17/10,CUIDADOS COM O CABELO,1369,0,,
29620,KIT PANTENE BAMBU SH+COND,49.29,39.98,01/09,30/09,CUIDADOS COM O CABELO,3048,1,,
29629,CHOC BARRA RECH SNICKERS DARK 42G,4.99,3.99,22/09,27/09,BOMBONIERE,4203,0,,
29990,KIT SH+COND NIELY DETOX,27.69,19.98,29/09,18/10,CUIDADOS COM O CABELO,1566,0,,
30081,FEIJAO RIQUEZA PRETO 1KG,7.99,7.29,21/09,24/09,ACUCAR / ARROZ / GRAOS,0,1,,
30418,MINI SORV BAUNILHA COBERT CHOC KIBON ESKI-BON CX 92.1G,15.99,9.90,03/09,30/09,FRIOS,5088,1,,
30423,PICOLE BAUNILHA COM CHOCOLATE BRANCO MAGNUM 78G,19.99,9.90,03/09,30/09,FRIOS,0,1,,
30526,PICOLE COOKIES CREAM MAGNUM PACOTE 69G,19.99,9.90,03/09,30/09,FRIOS,0,1,,
30528,PICOLE PRALINE MAGNUM BELGA 69G,19.99,9.90,03/09,30/09,FRIOS,0,1,,
30529,PICOLE CHOCOLATE COB CHOCOLATE MAGNUM ZERO 67G,19.99,9.90,03/09,30/09,FRIOS,0,1,,
30557,CR PENT SALON LINE LINHACA 1KG,48.79,39.99,22/09,28/09,CUIDADOS COM O CABELO,2577,0,,
30558,CR PENT SALON LINE AZEITE DE OLIVA 1KG,48.79,39.99,22/09,28/09,CUIDADOS COM O CABELO,2577,0,,
30774,CR PENT SEDA COLAGENO + VITAMINA C 300ML,13.99,11.99,17/09,17/10,CUIDADOS COM O CABELO,1369,0,,
30775,COND SEDA COLAGENO + VITAMINA C 325ML,17.59,13.99,17/09,17/10,CUIDADOS COM O CABELO,2477,0,,
30787,KIT PANTENE BRILHO EXTREMO SH+COND,49.29,39.98,01/09,30/09,CUIDADOS COM O CABELO,3048,0,,
31177,"AMAC CONC DOWNY BRISA DE VERAO +INTENSO 1,5L",49.59,26.99,25/09,27/09,LIMPEZA,3501,1,,
31221,CREAM CRACKER VITARELLA TOSTADINHA 350G,4.99,4.49,22/09,27/09,BISCOITOS / BOLACHAS,0,1,,
31612,DESOD AERO REXONA ANTI TRANSPIRANTE UNITED 150ML,18.79,16.99,17/09,17/10,HIGIENE CORPORAL,1489,0,,
31802,COND SEDA JUNTINHOS BRILHO ENCANTADO 300ML,17.59,13.99,17/09,17/10,CUIDADOS COM O CABELO,2477,0,,
31803,CR PENT SEDA JUNTINHOS BRILHO ENCANTADO 300ML,13.99,11.99,17/09,17/10,CUIDADOS COM O CABELO,1369,0,,
31823,SAB PROTEX CARVAO DETOX 85G,3.89,2.79,21/09,30/09,HIGIENE CORPORAL,1332,0,,
31865,BISC RECH TRELOSO CHOC C MORANGO 120G,2.29,1.89,22/09,28/09,BISCOITOS / BOLACHAS,4053,0,,
31866,BISC RECH TRELOSO CHOC 120G,2.29,1.89,22/09,28/09,BISCOITOS / BOLACHAS,4053,1,,
31868,BISC RECH TRELOSO CHOCORESCO BAUNILHA 120G,2.29,1.89,22/09,28/09,BISCOITOS / BOLACHAS,4053,0,,
32034,BISC RECH TRELOSO BEM CASADO 120G,2.29,1.89,22/09,28/09,BISCOITOS / BOLACHAS,4053,0,,
32035,BISC RECH TRELOSO CHOCORESCO CHOCOLATE 120G,2.29,1.89,22/09,28/09,BISCOITOS / BOLACHAS,4053,0,,
32209,SAB PROTEX ERVA DOCE 85G,3.89,2.79,21/09,30/09,HIGIENE CORPORAL,1332,0,,
32235,BISC RECH TRELOSO BRIGADEIRO 120G,2.29,1.89,22/09,28/09,BISCOITOS / BOLACHAS,4053,0,,
32236,BISC RECH TRELOSO DOCE DE LEITE 120G,2.29,1.89,22/09,28/09,BISCOITOS / BOLACHAS,4053,0,,
32237,BISC RECH TRELOSO FLOCOS 120G,2.29,1.89,22/09,28/09,BISCOITOS / BOLACHAS,4053,0,,
32238,BISC RECH TRELOSO MORANGO 120G,2.29,1.89,22/09,28/09,BISCOITOS / BOLACHAS,4053,0,,
32848,TINT MAXTON PRATICA 9.0,15.99,12.99,22/09,28/09,CUIDADOS COM O CABELO,1481,0,,
32849,TINT MAXTON PRATICA 7.44,15.99,12.99,22/09,28/09,CUIDADOS COM O CABELO,1481,0,,
32886,KIT PANTENE RESTAURACAO SH+COND GRTS AMP,49.29,39.98,01/09,30/09,CUIDADOS COM O CABELO,3048,0,,
32986,BEB LACTEA UHT BETANIA YOBEM PROT CHOC 250ML,9.49,6.99,17/09,30/09,FRIOS,4715,1,,
32987,BEB LACTEA UHT BETANIA YOBEM PROT BANANA 250ML,9.49,6.99,17/09,30/09,FRIOS,4715,0,,
33209,CHOC BARRA RECH SNICKERS CARAMELO E BACON 42G,4.99,3.99,22/09,27/09,BOMBONIERE,4203,0,,
33210,CHOC BARRA RECH SNICKERS MOUSSE DE MARACUJA 42G,4.99,3.99,22/09,27/09,BOMBONIERE,4203,0,,
33211,CHOC BARRA RECH SNICKERS COCO 42G,4.99,3.99,22/09,27/09,BOMBONIERE,4203,0,,
33447,SH DOVE CACHEADOS TEXTURAS REAIS 200ML,22.69,9.99,12/08,30/09,CUIDADOS COM O CABELO,1475,0,,
33450,COND SEDA BOOM HIDRATACAO PRO CURVA 300ML,17.59,13.99,17/09,17/10,CUIDADOS COM O CABELO,2477,0,,
33584,KIT PANTENE RESTAURACAO SH+COND,49.29,39.98,01/09,30/09,CUIDADOS COM O CABELO,3048,0,,
33589,MUCILON MULTICEREAIS LV 180 PG 160G,5.99,5.49,22/09,27/09,MATINAIS,4187,1,,
33590,MUCILON ARROZ E AVEIA  LV 180 PG 160G,5.99,5.49,22/09,27/09,MATINAIS,4187,0,,
33592,DESOD AERO DOVE MEN LIMAO 150ML,21.29,18.99,17/09,17/10,HIGIENE CORPORAL,1484,0,,
33593,DESOD AERO DOVE MEN EUCALIPTO 89G,21.29,18.99,17/09,17/10,HIGIENE CORPORAL,1484,0,,
33785,PICOLE TABLITO MAX AVELA 64G,10.49,4.99,03/09,30/09,FRIOS,0,1,,
33791,SH SEDA JUNTINHOS 2EM1 325ML,16.49,12.99,17/09,17/10,CUIDADOS COM O CABELO,2475,0,,
33794,SH SEDA JUNTINHOS CACHOS 300ML,16.49,12.99,17/09,17/10,CUIDADOS COM O CABELO,2475,0,,
33817,CR PENT SALON LINE S.O.S ARGININA 1K,48.79,39.99,22/09,28/09,CUIDADOS COM O CABELO,2577,0,,
